Valid from,§ 25 (1) 1,§ 25 (1) 2,§ 25 (3) 1,§ 25 (3) 2,§ 25 (4) 1,§ 25 (4) 2,BAföGÄndg,Article,Key
2024-07-19,2540,1690,850,770,50%,5%,29. BAföGÄndg,1,29. BAföGÄndg|1
2022-07-16,2415,1605,805,730,50%,5%,27. BAföGÄndg,1,27. BAföGÄndg|1
2021-08-01,2000,1330,665,605,50%,5%,26. BAföGÄndg,3,26. BAföGÄndg|3
2020-08-01,1890,1260,630,570,50%,5%,26. BAföGÄndg,2,26. BAföGÄndg|2
2019-07-09,1835,1225,610,555,50%,5%,26. BAföGÄndg,1,26. BAföGÄndg|1
2015-01-01,1715,1145,570,520,50%,5%,25. BAföGÄndg,1,25. BAföGÄndg|1
2010-10-24,1605,1070,535,485,50%,5%,23. BAföGÄndg,1,23. BAföGÄndg|1
2007-12-24,1555,1040,520,470,50%,5%,22. BAföGÄndg,1,22. BAföGÄndg|1
2002-01-01,1440,520,480,435,50%,5%,22. BAföGÄndg (previous value),,
