year,basic_allowance (1) 1,first_bracket_upper (1) 2,second_bracket_upper (1) 3,top_rate_threshold (1) 4,bracket2_a (1) 2,bracket2_b (1) 2,bracket3_a (1) 3,bracket3_b (1) 3,bracket3_c (1) 3,Rate_4 (1) 4,Deduct_4 (1) 4,Rate_5 (1) 5,Deduct_5 (1) 5,Change links,
2025,12096,17443,68480,277825,932,1400,177,2397,1015,0.42,10912,0.45,19247,https://www.buzer.de/gesetz/4499/al210146-0.htm,
2024,11784,17005,66760,277825,954.8,1400,181.19,2397,991.21,0.42,10636.31,0.45,18971.06,https://www.buzer.de/gesetz/4499/al208540-0.htm,
2023,10908,15999,62809,277825,979.18,1400,192.59,2397,966.53,0.42,9972.98,0.45,18037.73,https://www.buzer.de/gesetz/4499/al170565-0.htm,
2022,10347,14926,58596,277825,1088.67,1400,206.43,2397,869.32,0.42,9336.45,0.45,17671.2,https://www.buzer.de/gesetz/4499/al164545-0.htm,https://www.buzer.de/gesetz/4499/al162631-0.htm
2021,9744,14753,57918,274612,995.21,1400,208.85,2397,950.96,0.42,9136.63,0.45,17374.99,https://www.buzer.de/gesetz/4499/al119380-0.htm,
2020,9408,14532,57051,270500,972.87,1400,212.02,2397,972.79,0.42,8963.74,0.45,17078.74,https://www.buzer.de/gesetz/4499/al82512-0.htm,
2019,9168,14254,55960,265326,980.14,1400,216.16,2397,965.58,0.42,8780.9,0.45,16740.68,https://www.buzer.de/gesetz/4499/al68661-0.htm,-
2018,9000,13996,54949,260532,997.8,1400,220.13,2397,948.49,0.42,8621.75,0.45,16437.7,https://www.buzer.de/gesetz/4499/al65189-0.htm,
2017,8820,13769,54057,256304,1007.27,1400,223.76,2397,939.57,0.42,8475.44,0.45,16164.53,https://www.buzer.de/gesetz/4499/al58175-0.htm,
2016,8652,13469,53665,254447,993.62,1400,225.4,2397,952.48,0.42,8394.14,0.45,16027.52,https://www.buzer.de/gesetz/4499/al52738-0.htm,
2015,8472,13469,52881,250730,997.6,1400,228.74,2397,948.68,0.42,8261.29,0.45,15783.19,https://www.buzer.de/gesetz/4499/al47932-0.htm,
2014,8354,13469,52881,250730,974.58,1400,228.74,2397,971,0.42,8239,0.45,15761,https://www.buzer.de/gesetz/4499/al42127-0.htm,
2013,8130,13469,52881,250730,933.7,1400,228.74,2397,1014,0.42,8196,0.45,15718,https://www.buzer.de/gesetz/4499/al37345-0.htm,
2012,7834,13139,52581,250401,939.68,1400,228.74,2397,1007,0.42,8064,0.45,15576,https://www.buzer.de/gesetz/4499/al31144-0.htm,
2011,8004,13469,52881,250730,912.17,1400,228.74,2397,1038,0.42,8172,0.45,15694,https://www.lohn-info.de/einkommensteuertarif_2010_2012.html,
2010,8004,13469,52881,250730,912.17,1400,228.74,2397,1038,0.42,8172,0.45,15694,https://www.lohn-info.de/einkommensteuertarif_2010_2012.html,
2009,7664,12739,52151,250000,883.74,1500,228.74,2397,989,0.42,7914,0.45,15414,https://www.buzer.de/gesetz/4499/al17442-0.htm,
2008,7664,12739,52151,250000,883.74,1500,228.74,2397,989,0.42,7914,0.45,15414,https://www.buzer.de/gesetz/4499/al8064-0.htm,
2007,7664,12739,52151,250000,883.74,1500,228.74,2397,989,0.42,7914,0.45,15414,https://www.buzer.de/gesetz/4499/al4453-0.htm,https://www.buzer.de/gesetz/4499/al4453-0.htm
2006,,,,,,,,,,,,,,https://www.buzer.de/gesetz/4499/Aenderungen_EStG_vom_06.05.2006.htm,
2005,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,
